Specific Component;Variable;Instance;Required?;DataType;Unit;Description
SampledDataCtrlr;TxUpdatedInterval;;yes;integer;s;Interval between sampling of metering (or other) data, intended to be transmitted via TransactionEventRequest (eventType = Updated) messages
SampledDataCtrlr;TxUpdatedMeasurands;;yes;MemberList;;Sampled measurands to be included in the meterValues element of TransactionEventRequest (eventType = Ended)
SampledDataCtrlr;RegisterValuesWithoutPhases;;no;boolean;;If this variable reports a value of true, then meter values of measurand Energy.Active.Import.Register will only report the total energy over all phases without reporting the individual phase values. If this variable is absent or false, then the value for each phase is reported, possibly also with a total value (depending on the meter).
SecurityCtrlr;AdditionalRootCertificateCheck;;no;boolean;;Required for all security profiles except profile 1.
SecurityCtrlr;BasicAuthPassword;;no;passwordString;;The basic authentication password is used for HTTP Basic Authentication.
SecurityCtrlr;CertificateEntries;;yes;integer;;Amount of Certificates currently installed on the Charging Station
SecurityCtrlr;CertSigningRepeatTimes;;no;integer;;Number of times to resend a SignCertificateRequest when CSMS does nor return a signed certificate.
SecurityCtrlr;CertSigningWaitMinimum;;no;integer;s;Seconds to wait before generating another CSR in case CSMS does not return a signed certificate.
SecurityCtrlr;Identity;;no;identifierString;;The Charging Station identity.
SecurityCtrlr;MaxCertificateChainSize;;no;integer;;Limit of the size of the 'certificateChain' field from the CertificateSignedRequest
SecurityCtrlr;OrganizationName;;yes;string;;The organization name of the CSO or an organization trusted by the CSO. This organization name is used to specify the subject field in the client certificate.
SecurityCtrlr;SecurityProfile;;yes;integer;;The security profile used by the Charging Station.
SmartChargingCtrlr;ACPhaseSwitchingSupported;;no;boolean;;This variable can be used to indicate an on-load/in-transaction capability. If defined and true, this EVSE supports the selection of which phase to use for 1 phase AC charging.
SmartChargingCtrlr;Available;;no;boolean;;Whether smart charging is supported.
SmartChargingCtrlr;Enabled;;no;boolean;;Whether smart charging is enabled.
SmartChargingCtrlr;Entries;ChargingProfiles;yes;integer;;Entries(ChargingProfiles) is the amount of Charging profiles currently installed on the Charging Station
SmartChargingCtrlr;ExternalControlSignalsEnabled;;no;boolean;;Indicates whether a Charging Station should respond to external control signals that influence charging.
SmartChargingCtrlr;LimitChangeSignificance;;yes;decimal;Percent;If at the Charging Station side a change in the limit in a ChargingProfile is lower than this percentage, the Charging Station MAY skip sending a NotifyChargingLimitRequest or a TransactionEventRequest message to the CSMS.
SmartChargingCtrlr;NotifyChargingLimitWithSchedules;;no;boolean;;Indicates if the Charging Station should include the externally set charging limit/schedule in the message when it sends a NotifyChargingLimitRequest message.
SmartChargingCtrlr;PeriodsPerSchedule;;yes;integer;;Maximum number of periods that may be defined per ChargingSchedule.
SmartChargingCtrlr;Phases3to1;;no;boolean;;If defined and true, this Charging Station supports switching from 3 to 1 phase during a transaction
SmartChargingCtrlr;ProfileStackLevel;;yes;integer;;Maximum acceptable value for stackLevel in a ChargingProfile. Since the lowest stackLevel is 0, this means that if SmartChargingCtrlr.ProfileStackLevel = 1, there can be at most 2 valid charging profiles per Charging Profile Purpose per EVSE.
SmartChargingCtrlr;RateUnit;;yes;MemberList;;A list of supported quantities for use in a ChargingSchedule. Allowed values: 'A' and 'W
TariffCostCtrlr;Available;Tariff;no;boolean;;Instance Tariff: Whether tariffs are supported.
TariffCostCtrlr;Available;Cost;no;boolean;;Instance Cost: Wheter costs are supported.
TariffCostCtrlr;Currency;;yes;string;;Currency used by this Charging Station in a ISO 4217 [ISO4217] formatted currency code.
TariffCostCtrlr;Enabled;Tariff;no;boolean;;Instance Tariff: Whether tariffs are enabled.
TariffCostCtrlr;Enabled;Cost;no;boolean;;Instance Cost: Wheter costs are enabled.
TariffCostCtrlr;TariffFallbackMessage;;yes;string;;Message (and/or tariff information) to be shown to an EV Driver when there is no driver specific tariff information available.
TariffCostCtrlr;TotalCostFallbackMessage;;yes;string;;Message to be shown to an EV Driver when the Charging Station cannot retrieve the cost for a transaction at the end of the transaction.
TokenReader;Token;;no;string;;String of bytes representing an ID token.
TokenReader;TokenType;;no;OptionList;;Type of Token. Value is one of IdTokenEnumType.
TxCtrlr;ChargingTime;;no;decimal;s;Time from earliest to latest substantive energy transfer
TxCtrlr;EVConnectionTimeOut;;yes;integer;s;"Interval from between ""starting"" of a transaction until incipient transaction is automatically canceled, due to failure of EV driver to (correctly) insert the charging cable connector(s) into the appropriate socket(s). "
TxCtrlr;MaxEnergyOnInvalidId;;no;integer;;Maximum amount of energy in Wh delivered when an identifier is deauthorized by the CSMS after start of a transaction.
TxCtrlr;StopTxOnEVSideDisconnect;;yes;boolean;;When set to true, the Charging Station SHALL deauthorize the transaction when the cable is unplugged from the EV.
TxCtrlr;StopTxOnInvalidId;;yes;boolean;;Whether the Charging Station will deauthorize an ongoing transaction when it receives a non- Accepted authorization status in TransactionEventResponse for this transaction.
TxCtrlr;TxBeforeAcceptedEnabled;;no;boolean;;Allow charging before having received a BootNotificationResponse with RegistrationStatus: Accepted.
TxCtrlr;TxStartPoint;;yes;MemberList;;Defines when the Charging Station starts a new transaction
TxCtrlr;TxStopPoint;;yes;MemberList;;Defines when the Charging Station ends a transaction
